id,name,ability,firstNightReminder,otherNightReminder,reminders,firstNight,otherNight,team,edition,setup
acrobat,לוליין,"בכל לילה*, אם אחד מהשכנים הטובים החיים שלך שיכור או מורעל, אתה מת.",,"אם שכן חי טוב של הלולין מורעל, הוא מת.",מת,-1,46,outsider,experimental,FALSE
alchemist,אלכימאי,יש לך יכולת של משרת שלא במשחק.,הראה לאלכימאי דמות משרת מחוץ למשחק.,,האלכימאי,10,-1,townsfolk,experimental,FALSE
alhadikhia,אל-חדיקיה,"בכל לילה*, בחר שלושה שחקנים (כל השחקנים יודעים במי בחרת). כל אחד מהם בוחר לחיות או למות, אבל אם כולם חיים, כולם מתים.",,"האל-חדיקיה בוחר שלושה שחקנים. תצהיר על השחקן הראשון שנבחר, הער אותו לנענע בראש כן כדי לחיות או לנדנד בראש כדי למות. תהרוג או תחיה בהתאם, ואז תרדים אותו ותכריז על השחקן הבא. אם שלושת השחקנים חיים אחרי זה, שלושתם מתים.","1,2,3,בוחר בחיים, בוחר במוות",-1,40,demon,experimental,FALSE
amnesiac,אמנזי,"אתה לא יודע מה היכולת שלך. בכל יום, אתה יכול לנחש בפרטיות מה היכולת. אתה לומד כמה אתה קרוב.","תחליט מה היכולת של האמנזי. אם היכולת שלו גורמת לו לקום בלילה, תעיר את האמנזי ותבצע את הפעולה בהתאם.","אם היכולת של האמנזי גורמת לו לקום בלילה, תעיר אותו ותבצע את הפעולה בהתאם.",?,40,54,townsfolk,experimental,FALSE
angel,מלאך,משהו רע עלול לקרות למי שהיה הכי אחראי על המוות של שחקן חדש.,"הכרז איזה שחקנים מוגנים מפני המלאך. הוסף את אסימון ""מוגן"" ליד השחקנים הרלוונטים",,"מוגן, משהו רע",1,-1,fabled,experimental,FALSE
apprentice,מתמחה,"בלילה הראשון שלך, אתה מקבל יכולת של תושב-עיירה (אם אתה טוב) או של משרת (אם אתה רע).","הראה למתמחה את קל, ""אתה"" ואז קלף של תושב-עיירה או משרת. החלף את האסימון של המתמחה בגרימואר באסימון של תושב-העיירה או המשרת שהראית לו, והוסף את התזכורת של המתמחה לידו.",,המתמחה,5,-1,traveller,experimental,FALSE
artist,אמן,"פעם אחת במשחק, במהלך היום, תשאל את מספר-הסיפורים בפרטיות כל שאלה של כן או לא.",,,ללא יכולת,-1,-1,townsfolk,snv,FALSE
assassin,מתנקש,"פעם אחת במשחק, במהלך הלילה, בחר שחקן: הוא מת, אפילו אם מסיבה מסוימת הוא לא יכול למות.",,"אם המתנקש עדיין לא השתמש ביכולת שלו: המתנקש מנדנד את הראש ""לא"" או מצביע על שחקן. השחקן הזה מת.","מת, ללא יכולת",-1,43,minion,bmr,FALSE
atheist,אתאיסט,"מספר-הסיפורים יכול לשבור את חוקי המשחק ואם מוציאים אותו להורג, הטובים מנצח, אפילו אם אתה מת. [אין דמויות רעות]",,,,-1,-1,townsfolk,experimental,TRUE
balloonist,מפריח הבלונים,"בכל לילה, אתה לומד שחקן אחד מכל סוג דמות, עד שאין יותר סוגים ללמוד (תושב-עיירה, זר, משרת, שד). [+1 זר]","בחר סוג דמות. הצבע על שחקן שדמותו מהסוג הנבחר. הנח את אסימון ה""נראה"" של מפריח הבלונים ליד הדמות הזו.","בחר סוג דמות שאין אסימון ""נראה"" ליד דמות מהסוג הזה כבר. הצבע על שחקן שדמותו מהסוג הנבחר, אם נשארו כאלה. הנח את אסימון ה""נראה"" של מפריח הבלונים ליד הדמות הזו,.","ראה תושב-עיירה, ראה זר, ראה משרת, ראה שד, ראה מטייל",55,69,townsfolk,experimental,TRUE
barber,ספר,"אם מתת היום או הלילה, השד רשאי לבחור 2 שחקנים (לא שד אחר) כך שיחליפו דמויות.",,"אם הספר מת היום: הער את השד. הראה לו ""הדמות הזו בחרה אותך"" ואז את אסימון ה""ספר"". השד מנדנד את ראשו לשלילה או מצביע על 2 שחקנים. אם הוא בחר בשחקנים: החלף את אסימוני הדמויות שלהם. הער כל שחקן בנפרד. הראה להם ""אתה"" ואז את אסימון הדמות החדשה שלהם.",מסתפר הלילה,-1,47,outsider,snv,FALSE
barista,בריסטה,"בכל לילה, עד השחר 1) שחקן הופך לפיכח ובריא ומקבל מידע נכון או 2) היכולת שלו פועלת פעמיים. השחקן לומד מה קרה.","בחר שחקן, הער אותו וספר לו איזה מכוחות הבריסטה משפיע עליו. התייחס אליו בהתאם.","בחר שחקן, הער אותו וספר לו איזה מכוחות הבריסטה משפיע עליו. התייחס אליו בהתאם.","פיכח ובריא, יכולת פעמיים",6,3,traveller,experimental,FALSE
baron,ברון,יש יותר זרים במשחק. [+2 זרים],,,,-1,-1,minion,tb,TRUE
beggar,קבצן,"אתה חייב להשתמש באסימון הצבעה כדי להצביע. שחקנים מתים רשאים לתת לך את שלהם אם הם בוחרים בכך. אם זה קורה, אתה לומד האם הם טובים או רעים. אתה פיכח ובריא.",,,,-1,-1,traveller,experimental,FALSE
bishop,בישוף,רק מספר-הסיפורים יכול להעמיד להצבעה. לפחות שחקן אחד מהקבוצה הנגדית חייב לעמוד להצבעה בכל יום.,,,"להציע טוב, להציע רע",-1,-1,traveller,experimental,FALSE
bonecollector,אספן העצמות,"פעם אחת במשחק, בלילה, בחר שחקן מת: הוא מקבל את היכולת שלו עד השחר.",,"אספן העצמות מנדנד את ראשו לשלילה או מצביע על שחקן מת. אם הוא הצביע על שחקן מת כלשהו, תשים את אסימון התזכורת ""יש יכולת"" של אספן העצמות על האסימון של השחקן המת. (יכול להיות שהוא יצטרך לקום בלילה).","אין יכולת, יש יכולת",-1,4,traveller,experimental,FALSE
boomdandy,פצצאבאלה,"אם הוציאו אותך להורג, כולם מתים חוץ מ3 שחקנים. דקה לאחר מכן, השחקן שהכי הרבה שחקנים מצביעים עליו מת.",,,,-1,-1,minion,experimental,FALSE
bootlegger,מבריח,בסקריפט הזה יש דמויות לא רשמיות או חוקי בית,,,,-1,-1,fabled,experimental,FALSE
bountyhunter,צייד ראשים,"אתה מתחיל עם הידיעה ששחקן אחד הוא רע. אם השחקן שאתה יודע עליו מת, אתה לומד עוד דמות רעה במהלך הלילה. [תושב-עיירה אחד הוא רע]","תצביע על שחקן רע אחד. תעיר את תושב-העיירה שהוא רע והראו לו את הקלף ""אתה"" וסמן לו אגודל כלפי מטה, הסימן שמראה שהוא רע.","אם השחקן הרע הידוע מת, תצביע על שחקן רע אחר.",ידוע,56,71,townsfolk,experimental,TRUE
buddhist,בודהיסט,"ב2 הדקות הראשונות של כל יום, שחקנים ותיקים לא רשאים לדבר.",,,,2,-1,fabled,experimental,FALSE
bureaucrat,משרדן,"בכל לילה, בחר שחקן (חוץ מעצמך): הקול שלו נחשב כ3 קולות מחר.","המשרדן מצביע על שחקן. שים את אסימון ה""3 קולות"" של הבירוקרטליד האסימון של הדמות של השחקן הנבחר.","המשרדן מצביע על שחקן. שים את אסימון ה""3 קולות"" של הבירוקרטליד האסימון של הדמות של השחקן הנבחר.",3 קולות,7,5,traveller,experimental,FALSE
butcher,קצב,"בכל יום, אחרי ההוצאה הראשונה להורג, אתה רשאי להעמיד להצבעה פעם נוספת.",,,,-1,-1,traveller,experimental,FALSE
butler,מלצר,"בכל לילה, בחר שחקן (חוץ מעצמך): מחר, אתה רשאי להצביע רק אם הוא מצביע גם כן.","המלצר מצביע על שחקן. סמן את השחקן הזה כ""אדון"".","המלצר מצביע על שחקן. סמן את השחקן הזה כ""אדון"".",אדון,47,74,outsider,tb,FALSE
cannibal,קניבל,"יש לך את היכולת של השחקן האחרון שהוצא להורג. אם  הוא היה רע, אתה מורעל עד ששחקן טוב מת על ידי הוצאה להורג.",,,"מורעל, מת היום",-1,-1,townsfolk,experimental,FALSE
cerenovus,סרנובוס,"בכל לילה, תבחר שחקן ודמות טובה: הוא ""משוגע"" שהוא הדמות הזו מחר, או שהוא עלול למות.","הסרנובוס מצביע על שחקן ואז על דמות בדף שלו. תעיר את השחקן שנבחר. תראה את ""הדמות הזו בחרה אותך"" ואז את אסימון הסרנובוס. תראה את הדמות שנבחרה. אם השחקן לא ""משוגע"" שהוא הדמות הזו, הוא יכול למות.","הסרנובוס מצביע על שחקן ואז על דמות בדף שלו. תעיר את השחקן שנבחר. תראה את ""הדמות הזו בחרה אותך"" ואז את אסימון הסרנובוס. תראה את הדמות שנבחרה. אם השחקן לא ""משוגע"" שהוא הדמות הזו, הוא יכול למות.",משוגע,32,21,minion,snv,FALSE
chambermaid,חדרנית,"בכל לילה, תבחרי 2 שחקנים חיים (לא את עצמך): את לומדת כמה מהם קמו הלילה בגלל היכולת שלהם.","החדרנית מצביעה על שני שחקנים. תסמן את המספר (0,1,2) של כמה מהשחקנים שנבחרו קמו בלילה בגלל היכולת שלהם.","החדרנית מצביעה על שני שחקנים. תסמן את המספר (0,1,2) של כמה מהשחקנים שנבחרו קמו בלילה בגלל היכולת שלהם.",,62,78,townsfolk,bmr,FALSE
chef,שף,אתה מתחיל בידיעה של כמה זוגות של שחקנים רעים יש במשחק.,"תסמן עם האצבעות (0,1,2,...) את מספר הזוגות של שחקנים שכנים רעים.",,,44,-1,townsfolk,tb,FALSE
choirboy,נער מקהלה,"אם השד הורג את המלך, אתה לומד איזה שחקן הוא השד. [+מלך]",,"אם המלך נהרג ע""י השד, תעיר את נער המקהלה ותסמן לו מי השחקן של השד.",,-1,51,townsfolk,experimental,TRUE
clockmaker,יצרן השעונים,אתה מתחיל בידיעה של כמה צעדים יש מהשד למשרת הקרוב אליו.,"תסמן עם האצבעות (1,2,3,...) כמה מקומות מהשד נמצא המשרת הקרוב ביותר.",,,49,-1,townsfolk,snv,FALSE
courtier,חצרן,"פעם אחת במשחק, בלילה, תבחר דמות: היא שיכורה ל3 לילות ו3 ימים.","החצרן מנדנד את ראשו לשלילה או מצביע על דמות בדף שלו. אם החצרן השתמש ביכולת שלו: אם הדמות הזו במשחק, הדמות הזו שיכורה ל3 ימים ו3 לילות.","הורד באחד את מספר הימים שנשארו לשחקן שנבחר להיות שיכור. אם החצרן לא השתמש ביכולת שלו עדיין: החצרן מנדנד את ראשו לשלילה או מצביע על דמות בדף שלו. אם החצרן השתמש ביכולת שלו: אם הדמות הזו במשחק, הדמות הזו שיכורה ל3 ימים ו3 לילות.","שיכור 3, שיכור 2, שיכור 1, אין יכולת",26,14,townsfolk,bmr,FALSE
cultleader,מנהיג הכת,"בכל לילה, אתה עובר לקבוצה של שכן חי שלך. אם כל השחקנים הטובים מצטרפים לכת שלך, הקבוצה שלך מנצחת.","אם מנהיג הכת עבר קבוצה, הראה לו אגודל מעלה כדי לסמן שהוא טוב או אגודל למטה כדי לסמן שהוא רע.","אם מנהיג הכת עבר קבוצה, הראה לו אגודל מעלה כדי לסמן שהוא טוב או אגודל למטה כדי לסמן שהוא רע.",,58,73,townsfolk,experimental,FALSE
damsel,עלמה,"כל המשרתים יודעים שהעלמה במשחק. אם משרת מנחש אותך בפומבי (פעם אחת), הקבוצה שלך מפסידה.","הער את כל המשרתים, הראה להם את אסימון ""הדמות הזו בחרה בך"" ואז את אסימון ה""עלמה"".","אם העלמה נבחרה על ידי הצייד, הער אותה והראה לה את אסימון ""את"" ואז אסימון של דמות שלא במשחק.",ניחוש בוזבז,39,53,outsider,experimental,FALSE
deviant,סוטה,"אם היית מצחיק היום, אי אפשר להגלות אותך.",,,,-1,-1,traveller,experimental,FALSE
devilsadvocate,פרקליט השטן,"בכל לילה, תבחר שחקן חי (שונה מהלילה הקודם): אם מוציאים אותו להורג מחר, הוא לא מת.",פרקליט השטן מצביע על אדם חי. הוא שורד את ההוצאה להורג מחר.,פרקליט השטן מצביע על אדם חי. הוא שורד את ההוצאה להורג מחר.,שורד הוצאה להורג,29,19,minion,bmr,FALSE
djinn,ג'יני,השתמש בחוק המיוחד של הג'יני. כל השחקנים יודעים מה הוא.,,,,-1,-1,fabled,experimental,FALSE
doomsayer,שוחר האבדון,"אם 4 או יותר שחקנים חיים, כל שחקן חי רשאי לבחור בפומבי (פעם אחת במשחק) ששחקן מאותה הקבוצה שלו ימות.",,,,-1,-1,fabled,experimental,FALSE
dreamer,חולמני,"בכל לילה, תבחר שחקן (חוץ מעצמך וממטיילים): אתה לומד דמות אחת רעה ואחת טובה, מתוכם אחד נכון.","החולמני מצביע על שחקן. תראה לו דמות אחת טובה ואחת רעה, כשאחת מהן היא הדמות האמיתית.","החולמני מצביע על שחקן. תראה לו דמות אחת טובה ואחת רעה, כשאחת מהן היא הדמות האמיתית.",,50,63,townsfolk,snv,FALSE
drunk,שיכור,"אתה לא יודע שאתה שיכור. אתה חושב שאתה תושב-עיירה, אבל אתה לא.",,,שיכור,-1,-1,outsider,tb,TRUE
duchess,דוכסית,"בכל יום, 3 שחקנים רשאים לבקר אותך. בלילה*, כל מבקר לומד כמה מבקרים הם רעים, אבל אחד מהם יקבל מידע שגוי.",,,"מבקר, מידע שגוי",-1,1,fabled,experimental,FALSE
empath,בוחן לבבות,"בכל לילה, אתה לומד כמה מבין 2 השכנים החיים שלך הם רעים.","הראה מספר עם האצבעות (0,1,2) שאומר כמה שכנים חיים רעים יש לבוחן הלבבות.","הראה מספר עם האצבעות (0,1,2) שאומר כמה שכנים חיים רעים יש לבוחן הלבבות.",,45,60,townsfolk,tb,FALSE
engineer,מהנדס,"פעם אחת במשחק, בלילה, תבחר איזה מהמשרתים או איזה שד יהיו במשחק.","המהנדס מנדנד את ראשו לשלילה, או מצביע על שד או על המספר הרלוונטי של משרתים. אם המהנדס בחר בדמויות, תחליף את השד או את המשרתים בבחירות של המהנדס, ואז תעיר את השחקנים שתפקידם השתנה ותראה להם את התפקיד החדש שלהם.","המהנדס מנדנד את ראשו לשלילה, או מצביע על שד או על המספר הרלוונטי של משרתים. אם המהנדס בחר בדמויות, תחליף את השד או את המשרתים בבחירות של המהנדס, ואז תעיר את השחקנים שתפקידם השתנה ותראה להם את התפקיד החדש שלהם.",אין יכולת,20,11,townsfolk,experimental,FALSE
eviltwin,תאום רשע,"אתה ושחקן מהקבוצה הנגדית יודעים אחד על השני. אם השחקן הטוב מוצא להורג, הרעים מנצחים. הטובים לא יכולים לנצח אם שניכם חיים.","תעיר את התאום הרשע ואת התאום שלו. תוודא שהם שמו לב אחד לשני. תצביע על התאום הרשע, ותראה את אסימון ""התאום הרשע"" לתאום הטוב. תצביע על התאום הטוב, ותראה את אסימון הדמות שלו לתאום הרשע.",,תאום,30,-1,minion,snv,FALSE
exorcist,מגרש השדים,"בכל לילה*, תבחר שחקן (שונה מהלילה הקודם): אם בחרת את השד, הוא לומד מי אתה ולא קם בלילה.",,"מגרש השדים מצביע על שחקן, שונה מהלילה הקודם. אם השחקן שנבחר הוא השד: תעיר את השד. תראה לו את אסימון מגרש השדים. תצביע למגרש השדים. השד לא פועל הלילה.",נבחר,-1,28,townsfolk,bmr,FALSE
fanggu,פאנג גו,"בכל לילה*, תבחר שחקן: הוא מת. הזר הראשון שהיכולת הזו הורגת הופך לפאנג גו רע ואתה מת במקום [+1 זר]",,"הפאנג גו מצביע על שחקן. השחקן הזה מת. או, אם השחקן הזה היה זר ואין עוד פאנג גו במשחק: הפאנג גו מת במקום השחקן שנבחר. השחקן שנבחר הוא עכשיו פאנג גו רשע. תעיר את הפאנג גו החדש. תראה לו את אסימון ""אתה"" ואת אסימון הפאנג גו. תראה לו את אסימון ""אתה"" ואגודל כלפי מטה שמסמן ""רשע"".","מת, פעם אחת",-1,36,demon,snv,TRUE
farmer,חקלאי,"אם אתה מת בלילה, שחקן טוב חי הופך להיות החקלאי.",,"אם החקלאי מת הלילה, תבחר שחקן טוב אחר ותהפוך אותם לחקלאי. תעיר את השחקן הזה, תראה לו את אסימון ""אתה"" ואת אסימון ה""חקלאי"".",,-1,55,townsfolk,experimental,FALSE
fearmonger,מעורר הפחד,"בכל לילה, תבחר שחקן. אם אתה מעמיד אותו להצבעה והוא מוצא להורג, הקבוצה שלו מפסידה. כל השחקנים יודעים כאשר בחרת שחקן חדש.",מעורר הפחד מצביע על שחקן. תניח את אסימון הפחד ליד השחקן הנבחר ותודיע שנבחר שחקן חדש עם היכולת של מעורר הפחד.,"מעורר הפחד מצביע על שחקן. אם הוא בחר בשחקן שונה מהלילה הקודם, תניח את אסימון הפחד ליד השחקן הנבחר ותודיע שנבחר שחקן חדש עם היכולת של מעורר הפחד.",פחד,33,23,minion,experimental,FALSE
fibbin,צ'קלפן,"פעם אחת במשחק, שחקן טוב אחד עלול לקבל מידע שגוי.",,,שומש,-1,-1,fabled,experimental,FALSE
fiddler,כנר,"פעם אחת במשחק, השד בוחר בסודיות שחקן מהקבוצה הנגדית: כל השחקנים בוחרים מי מבין שני השחקנים האלה מנצח.",,,,-1,-1,fabled,experimental,FALSE
fisherman,דייג,"פעם אחת במשחק, במהלך היום, תבקר את מספר הסיפורים בשביל עצה שתעזור לך לנצח.",,,אין יכולת,-1,-1,townsfolk,experimental,FALSE
flowergirl,נערת הפרחים,"בכל לילה*, את לומדת אם השד הצביע היום.",,תנענע בראשך לחיוב או תנדנד לשלילה לגבי האם השד הצביע היום. ,"שד הצביע, שד לא הצביע",-1,64,townsfolk,snv,FALSE
fool,שוטה,"בפעם הראשונה שאתה מת, אתה לא מת.",,,אין יכולת,-1,-1,townsfolk,bmr,FALSE
fortuneteller,מגלה עתידות,"בכל לילה, תבחר 2 שחקנים: אתה לומד האם אחד מהם הוא השד. יש שחקן טוב שנחשב עבורך כמו שד.",מגלה העתידות מצביע על שני שחקנים. תנענע בראשך לחיוב או תנדנד לשלילה לגבי האם אחד משניהם הוא השד.,מגלה העתידות מצביע על שני שחקנים. תנענע בראשך לחיוב או תנדנד לשלילה לגבי האם אחד משניהם הוא השד.,הסחת דעת,46,61,townsfolk,tb,FALSE
gambler,מהמר,"בכל לילה*, תבחר שחקן ותנחש מה הדמות שלו: אם ניחשת שגוי, אתה מת.",,"המהמר מצביע על שחקן, ועל דמות בדף הדמויות. אם זה לא נכון, המהמר מת.",מת,-1,16,townsfolk,bmr,FALSE
gangster,גנגסטר,"פעם אחת בכל יום, אתה רשאי להרוג שכן חי, אם השכן החי האחר מסכים.",,,,-1,-1,traveller,experimental,FALSE
gardener,גנן,מספר-הסיפורים מקצה דמויות של שחקן אחד או יותר,,,,-1,-1,fabled,experimental,FALSE
general,גנרל,"בכל לילה, אתה לומד מה הצד שמספר הסיפורים מאמין שמנצח: טוב, רע או אף אחד מהם.","תראה לגנרל אגודל כלפי מעלה עבור טוב מנצח, אגודל כלפי מטה עבור רע מנצח, ואגודל לצד אם אף אחד מהם.","תראה לגנרל אגודל כלפי מעלה עבור טוב מנצח, אגודל כלפי מטה עבור רע מנצח, ואגודל לצד אם אף אחד מהם.",,61,77,townsfolk,experimental,FALSE
goblin,גובלין,"אם אתה מודיע בפומבי שאתה הגובלין כשאתה מועמד להצבעה ואתה גם מוצא להורג באותו יום, הקבוצה שלך מנצחת.",,,הודיע,-1,-1,minion,experimental,FALSE
godfather,סנדק,"אתה מתחיל בידיעה של איזה זרים יש  במשחק. אם אחד מהם מת היום, תבחר שחקן הלילה: הוא מת. [-1 או +1 זר]",תראה כל אסימון של זר שבמשחק לסנדק.,אם זר מת היום: הסנדק מצביע על שחקן. השחקן הזה מת.,"מת היום, מת",28,44,minion,bmr,TRUE
golem,גולם,"אתה רשאי להעלות להצבעה רק פעם אחת במשחק. כשאתה עושה את זה, אם המועמד הוא לא השד, הוא מת.",,,לא יכול להציע להצבעה,-1,-1,outsider,experimental,FALSE
goon,בריון,"בכל לילה, השחקן הראשון שבוחר אותך עם היכולת שלו הוא שיכור עד השחר. אתה עובר לקבוצה שלו.",,,שיכור,-1,-1,outsider,bmr,FALSE
gossip,רכלן,"בכל יום, אתה רשאי לצאת בהצהרה פומבית. הלילה, אם היא נכונה, שחקן מת.",,אם ההצהרה הפומבית של הרכלן הייתה נכונה: תבחר שחקן שלא מוגן ממוות הלילה. הוא מת.,מת,-1,45,townsfolk,bmr,FALSE
grandmother,סבתא,"את מתחילה בידיעה של שחקן טוב והדמות שלו. אם השד הורג אותם, את מתה בנוסף.","תראה את האסימון של הדמות המסומנת, ותצביע על השחקן שזה הדמות שלו.","אם נכד של הסבתא נהרג ע""י השד בלילה: הסבתא מתה.",נכד,48,58,townsfolk,bmr,FALSE
gunslinger,תותחן,"בכל יום, אחרי שהצביעו בהצבעה הראשונה, אתה רשאי לבחור שחקן שהצביע: הוא מת.",,,,-1,-1,traveller,experimental,FALSE
harlot,פרוצה,"בכל לילה*, תבחרי שחקן חי: אם הוא מסכים, את לומדת מה הדמות שלו, אבל שניכם עלולים למות.",,"הפרוצה מצביעה על שחקן כלשהו. אחר כך, תרדים את הפרוצה. תעיר את השחקן הנבחר, ותראה להם ""הדמות הזו בחרה אותך"" ואת אסימון ה""פרוצה"". השחקן הזה מנענע בראשו לחיוב או מנדנד לשלילה. אם הוא נענע לחיוב, תעיר את הפרוצה ותראה לה את הדמות של השחקן הנבחר. לאחר מכן תחליט אם שניהם מתים.",מת,-1,6,traveller,experimental,FALSE
harpy,הרפי,"בכל לילה, בחרי 2 שחקנים: מחר, השחקן הראשון ""משוגע"" שהשני רע, או ששניהם עלולים למות.","ההרפי בוחרת שני שחקנים. סמן את הראשון ""משוגע"" והשני ""שני"". תחזיר את ההרפי לישון. הער את המטרה הראשונה. הראה לה את אסימון ""הדמות הזו בחרה אותך"" ואת אסימון ההרפי, ואז הצבע על המטרה השנייה.","ההרפי בוחרת שני שחקנים. סמן את הראשון ""משוגע"" והשני ""שני"". תחזיר את ההרפי לישון. הער את המטרה הראשונה. הראה לה את אסימון ""הדמות הזו בחרה אותך"" ואת אסימון ההרפי, ואז הצבע על המטרה השנייה.","משוגע,שני",34,24,minion,experimental,FALSE
hellslibrarian,ספרנית הגיהנום,משהו רע עלול לקרות למי שמדבר כשמספר הסיפורים מבקש שקט.,,,משהו רע,-1,-1,fabled,experimental,FALSE
heretic,כופר,"כל מי שמנצח הפסיד, וכל מי שמפסיד ניצח, גם אם אתה מת.",,,,-1,-1,outsider,experimental,FALSE
highpriestess,כהנת עליונה,"בכל לילה, למדי איזה שחקן מספר-הסיפורים מאמין שהכי כדאי לך לדבר איתו.",תצביע על שחקן.,תצביע על שחקן.,,60,76,townsfolk,experimental,FALSE
huntsman,צייד,"פעם אחת במשחק, בלילה, תבחר שחקן חי: אם בחרת בעלמה, היא הופכת להיות תושב-עיירה שלא במשחק. [+עלמה]","הצייד מנדנד את ראשו לשלילה או מצביע על שחקן. אם הוא הצביע על העלמה, תעיר את השחקן המתאים ותראה לו את אסימון ""אתה"" ואסימון של דמות שלא נמצאת במשחק.","הצייד מנדנד את ראשו לשלילה או מצביע על שחקן. אם הוא הצביע על העלמה, תעיר את השחקן המתאים ותראה לו את אסימון ""אתה"" ואסימון של דמות שלא נמצאת במשחק.",אין יכולת,38,52,townsfolk,experimental,TRUE
imp,שדון,"בכל לילה*, תבחר שחקן: הוא מת. אם בחרת בעצמך בדרך הזו, משרת הופך להיות השדון.",,"השדון מצביע על שחקן. השחקן הזה מת. אם השדון בחר בעצמו בדרך הזו: תחליף את התפקיד של משרת חי אחד עם אסימון השדון המיותר. תראה לו את אסימון ""אתה"" ואת אסימון השדון.",מת,-1,31,demon,tb,FALSE
innkeeper,בעל הפונדק,"בכל לילה*, תבחר 2 שחקנים: הם לא יכולים למות הלילה, אבל אחד מהם שיכור עד השחר.",,השחקנים המוגנים והשיכורים מהלילה הקודם מאבדים את הסימונים הללו. בעל הפונדק מצביע על שני שחקנים. הם מוגנים. אחד מהם שיכור.,"מוגן, שיכור",-1,15,townsfolk,bmr,FALSE
